arch,hyperparams,total params,train loss,valid loss,accuracy,time
LSTM_2dCNN,{},148654,0.006383446976542473,0.16206148266792297,0.9811557531356812,12
LSTM_XCM,{},255290,0.002600765088573098,0.19684551656246185,0.9736180901527405,14
XCM_LSTM,{},585342,0.00721011683344841,0.22870506346225739,0.9723618030548096,17
LSTM_FCN_2dCNN,{},415918,0.0023070569150149822,0.1708475649356842,0.9623115658760071,16
