arch,hyperparams,mae,recall,Run time
LSTM_FCNPlus,{},9.07,0.9666666666666667,53
XceptionTime,{},3.4633333333333334,0.9633333333333334,98
LSTM_FCN,{},9.595,0.94,55
InceptionTime,{},7.556666666666667,0.8633333333333333,128
XCM,{},5.306666666666667,0.8333333333333334,55
FCN,{},51.71,0.33,45
