arch,hyperparams,mae,recall,Run time
LSTM_FCN,{},10.44,0.97,44
XCM,{},6.416666666666667,0.9333333333333333,53
XceptionTime,{},4.486666666666666,0.9166666666666666,99
LSTM_FCNPlus,{},19.243333333333332,0.9033333333333333,43
InceptionTime,{},6.591666666666667,0.85,105
LSTM,"{'n_layers': 3, 'bidirectional': False}",55.61,0.45,70
FCN,{},39.29833333333333,0.32666666666666666,47
