arch,hyperparams,total params,train loss,valid loss,accuracy,time
XceptionTime,{},399960,0.06367305666208267,0.07845725864171982,0.9849246144294739,40
XCM,{},259206,0.006286981515586376,0.09699717164039612,0.9786432385444641,14
InceptionTime,{},455940,0.006509505212306976,0.08059070259332657,0.9761306643486023,37
LSTM_FCNPlus,{},388868,0.01942148432135582,0.09247184544801712,0.9723618030548096,7
LSTM_FCN,{},388868,0.006395314354449511,0.1581611931324005,0.963567852973938,8
LSTM,"{'n_layers': 3, 'bidirectional': False}",204404,0.004496636334806681,0.16873522102832794,0.9623115658760071,15
LSTM,"{'n_layers': 3, 'bidirectional': True}",568804,0.07004178315401077,0.24884286522865295,0.9384422302246094,14
FCN,{},267268,0.09237588942050934,0.15744979679584503,0.9321607947349548,15
