arch,hyperparams,total params,train loss,valid loss,accuracy,time
XCM_LSTM,{},585342,0.003045206656679511,0.13649199903011322,0.9773869514465332,17
LSTM_XCM,{},255290,0.0024306816048920155,0.13488176465034485,0.9748743772506714,14
LSTM_2dCNN,{},148654,0.005879873409867287,0.2210904359817505,0.9660804271697998,12
