arch,hyperparams,total params,train loss,valid loss,accuracy,time
XceptionTime,{},399960,0.05733487755060196,0.07592985033988953,0.9861809015274048,39
LSTM,"{'n_layers': 3, 'bidirectional': False}",204404,0.008402738720178604,0.12139315903186798,0.9748743772506714,17
LSTM_FCNPlus,{},388868,0.003912319894880056,0.17533352971076965,0.9736180901527405,17
LSTM_FCN,{},388868,0.0037505265790969133,0.26453426480293274,0.9698492288589478,19
LSTM,"{'n_layers': 3, 'bidirectional': True}",568804,0.003191162133589387,0.20026269555091858,0.9698492288589478,32
InceptionTime,{},455940,0.0023369556292891502,0.10671254992485046,0.9673366546630859,60
XCM,{},259206,0.004220267757773399,0.14251312613487244,0.9610552787780762,17
FCN,{},267268,0.09127049893140793,0.17553704977035522,0.9371859431266785,13
